Fts_0,Fts_1,Fts_2,Fts_3,Fts_4,Fts_5,Fts_6,Fts_7,Fts_8,Fts_9,Fts_10,Label
41,0,8.507255435475972,79,0,38,-23,0.35,38,41,2,1
51,0,8.47568892350624,79,0,52,2,0.35,27,27,0,1
55,-1,11.510822389549778,79,-4,20,-12,0.35,24,59,34,4
41,0,8.496987730598743,77,0,42,5,0.35,37,36,0,1
46,-3,8.520537537483026,80,0,46,0,0.35,34,34,0,1
56,0,11.493082360036247,79,0,-2,-24,0.35,24,82,58,4
44,0,8.505871977372768,82,-1,44,0,0.35,38,38,0,1
45,0,8.490879111144611,83,0,46,31,0.35,37,36,0,1
37,0,8.504760183800403,77,-1,36,4,0.35,40,41,0,1
37,0,8.508046521916311,75,-1,36,0,0.35,38,39,0,1
37,1,8.505691674176843,77,-2,34,0,0.35,40,43,2,1
51,0,8.502236456508175,79,0,50,-6,0.35,28,30,2,1
46,-4,8.509773803830802,76,-1,46,0,0.35,29,29,0,1
49,0,8.496572099585089,77,5,50,5,0.35,28,28,0,1
45,0,8.504557936000964,108,0,44,-3,0.35,62,64,2,1
42,0,8.479806370827113,79,-2,42,0,0.35,36,37,2,1
37,0,8.500480296096951,78,0,20,-10,0.35,41,57,16,1
37,0,8.503031119921769,76,-3,36,-10,0.35,39,40,2,1
53,5,8.504472234492733,84,0,52,-5,0.35,31,32,2,1
38,4,8.49841886866098,76,0,38,4,0.35,38,37,0,1
40,0,8.49238304624827,80,0,38,-2,0.35,40,41,2,1
47,2,8.517999013981356,95,3,46,0,0.35,48,49,0,1
45,0,8.490762807416377,79,5,44,0,0.35,34,35,2,1
41,-1,8.503021099417506,86,0,42,0,0.35,45,45,0,1
55,0,11.498856771645022,95,0,36,13,0.35,40,59,20,4
56,0,8.50070900864352,95,0,56,15,0.35,40,39,0,1
51,-3,8.47163546680391,83,0,50,-14,0.35,32,33,2,1
37,0,8.481991140326143,75,0,34,10,0.35,38,41,2,1
37,0,8.499403731058353,75,0,28,16,0.35,38,46,8,1
81,-2,12.49808441939779,84,0,-18,-30,0.35,4,103,98,5
43,0,8.521864817578377,95,-4,42,-4,0.35,52,54,2,1
41,0,8.50594920566725,84,2,42,25,0.35,43,43,0,1
49,0,8.505106410419268,87,-7,46,-25,0.35,38,41,2,1
49,0,8.496508780864481,83,0,46,-14,0.35,34,37,2,1
37,-3,8.49512860186743,77,0,20,0,0.35,40,56,16,1
81,0,12.51064701936754,84,0,-12,29,0.35,4,97,94,5
55,1,8.499811889552456,84,0,54,-1,0.35,29,30,2,1
55,0,11.488509984817544,96,0,46,23,0.35,41,50,8,4
42,0,8.493572157026236,81,-2,42,-4,0.35,39,39,0,1
79,0,12.519691259586818,83,0,-40,3,0.35,4,125,120,5
59,-5,8.499296948227952,84,0,60,6,0.35,25,24,0,1
56,-3,8.500800677827625,87,0,56,0,0.35,31,30,0,1
55,0,11.508385883979445,82,1,-10,0,0.35,26,92,66,4
56,0,11.493968893553713,92,0,-2,-4,0.35,36,95,58,4
46,0,8.500643759096828,80,0,46,0,0.35,34,34,0,1
56,0,11.508089496980707,78,0,8,-19,0.35,22,70,48,4
37,0,8.510899732919084,83,0,34,7,0.35,47,50,2,1
37,0,8.49759601201783,77,0,2,17,0.35,40,74,34,1
53,-1,8.497515994808516,87,-5,52,-10,0.35,34,35,2,1
37,-1,8.476672221740673,79,-4,36,-6,0.35,42,43,2,1
44,-1,8.497913148317872,82,-4,44,0,0.35,38,38,0,1
48,-3,8.508845294107145,95,0,46,-4,0.35,47,49,2,1
42,5,8.50901804076322,79,5,42,0,0.35,37,38,0,1
37,0,8.496913145062383,106,-1,34,0,0.35,68,72,4,1
37,0,8.479107407032874,81,5,36,-3,0.35,43,44,2,1
44,-4,8.48658658676854,82,-3,44,0,0.35,38,38,0,1
45,0,8.502834875054386,83,0,46,19,0.35,38,37,0,1
55,2,8.502541111982293,83,-2,54,0,0.35,28,29,0,1
55,0,11.510980058683295,77,0,-14,-4,0.35,21,92,70,4
41,3,8.501771790794912,78,0,38,-1,0.35,37,39,2,1
37,0,8.509807736599068,78,-5,8,0,0.35,41,70,30,1
57,3,8.48444667019951,91,0,56,0,0.35,34,34,0,1
37,0,8.505997058249914,76,0,38,14,0.35,38,37,0,1
37,0,8.505978295966136,77,0,8,-8,0.35,41,70,28,1
37,0,8.501752501605127,76,-5,28,6,0.35,39,47,8,1
49,4,8.506573253757121,84,0,50,2,0.35,35,35,0,1
37,0,8.501585328226447,77,5,-12,-10,0.35,41,90,50,1
50,-4,8.503194282040786,85,0,50,0,0.35,35,36,2,1
51,-2,8.484783281515133,87,0,52,5,0.35,36,35,0,1
37,0,8.504005424745769,93,0,12,7,0.35,56,81,24,1
56,0,8.501571014879248,82,1,54,-12,0.35,26,28,2,1
43,0,8.50630206327164,81,3,42,-4,0.35,38,40,2,1
55,-2,8.49418858819628,108,0,54,-3,0.35,52,53,2,1
37,0,8.49146407835829,81,-1,36,-18,0.35,43,44,2,1
45,-1,8.506586258058253,78,-3,44,-5,0.35,33,34,2,1
41,0,8.484664273733356,77,7,38,0,0.35,36,38,2,1
48,1,8.49559969204876,87,0,46,0,0.35,39,41,2,1
43,0,8.4998741635125,81,0,44,15,0.35,37,37,0,1
56,0,11.489912461491997,96,0,52,-3,0.35,40,44,4,4
37,0,8.501821006581741,92,0,24,3,0.35,55,69,14,1
46,1,8.509596896834891,83,0,44,-9,0.35,37,39,2,1
49,-2,8.496455039806529,77,3,46,-30,0.35,28,30,2,1
45,0,8.50028232583712,83,0,44,2,0.35,38,39,0,1
56,0,11.515364820161235,81,0,-20,-4,0.35,25,102,76,4
48,-3,8.500216729176667,109,-6,46,0,0.35,61,62,2,1
37,0,8.48994456411748,83,0,34,5,0.35,46,49,4,1
50,-4,8.487158619258794,83,0,50,0,0.35,33,34,2,1
47,-2,8.495144935400695,75,0,46,0,0.35,28,28,0,1
48,1,8.4940888938247,81,-1,46,0,0.35,33,34,2,1
55,0,11.499205688653719,82,0,-42,-9,0.35,26,126,100,4
50,3,8.520272599020364,107,0,50,0,0.35,57,58,0,1
38,0,8.493124040861517,102,-4,34,0,0.35,65,69,4,1
37,0,8.504106456625694,106,17,28,0,0.35,69,77,8,1
37,0,8.500956122571631,77,0,-6,-19,0.35,41,85,44,1
37,0,8.506019908689911,79,0,26,-22,0.35,42,53,12,1
43,0,8.492011582443032,84,0,44,13,0.35,41,41,0,1
36,-1,8.500732579244884,81,0,36,0,0.35,45,45,0,1
45,1,8.500362609332337,80,0,46,31,0.35,35,34,0,1
55,0,11.502572198405886,78,0,0,-3,0.35,23,78,56,4
58,5,8.50026310022208,88,0,56,0,0.35,30,31,2,1
48,0,8.49709484198255,88,-4,46,0,0.35,40,41,2,1
105,-1,12.495970845829932,106,2,70,0,0.35,2,36,34,5
54,-1,8.502006014832562,86,-1,54,-2,0.35,32,32,0,1
56,4,11.512583202805786,96,0,52,10,0.35,40,44,4,4
79,2,12.486761341999264,83,0,-42,-19,0.35,4,126,122,5
37,0,8.494756063720763,97,0,24,-30,0.35,60,73,14,1
46,-3,8.493290145868096,109,2,46,0,0.35,63,63,0,1
37,0,8.510049030798816,78,0,16,-11,0.35,42,63,22,1
37,0,8.492828027672669,78,0,12,-10,0.35,41,65,24,1
56,0,11.505069262842396,78,5,-22,0,0.35,22,101,80,4
55,0,11.501472332767188,83,5,-24,0,0.35,27,108,82,4
54,2,8.498805296280985,80,0,54,0,0.35,26,26,0,1
55,0,11.49493000323393,77,-2,28,0,0.35,21,48,28,4
37,0,8.502033264042621,104,-9,28,0,0.35,67,75,8,1
55,-1,11.50851351577702,79,0,16,0,0.35,23,63,40,4
43,-3,8.50500781237867,86,0,42,-16,0.35,42,44,2,1
41,-1,8.499230154501252,89,0,38,-14,0.35,48,50,2,1
39,0,8.518314233072672,107,-2,38,0,0.35,68,68,0,1
46,0,8.490983382785613,107,0,46,4,0.35,61,60,0,1
37,4,8.501860741042739,76,0,34,-10,0.35,39,43,4,1
44,1,8.487736253737214,76,0,44,8,0.35,32,32,0,1
53,0,8.48711648853206,79,0,54,14,0.35,26,24,0,1
44,0,8.49344312245486,81,-1,44,5,0.35,37,37,0,1
56,3,11.505894117266726,99,0,38,0,0.35,43,60,18,4
56,0,11.505927805333764,93,-7,50,0,0.35,37,44,6,4
37,0,8.493087177184563,75,-2,34,0,0.35,38,41,2,1
52,4,8.515499051822099,84,-1,52,-2,0.35,31,32,0,1
80,0,12.480058218507274,85,6,-40,10,0.35,5,126,122,5
37,0,8.49804149061662,76,0,36,4,0.35,39,40,2,1
55,0,11.483746272015653,92,0,-4,22,0.35,36,97,60,4
44,2,8.493381762104415,75,0,44,11,0.35,31,31,0,1
43,-5,8.49801993632976,83,0,42,-9,0.35,39,41,2,1
41,-1,8.501592858184244,76,0,38,-24,0.35,35,37,2,1
45,0,8.499504397518505,86,0,44,-10,0.35,41,42,2,1
55,0,11.503810382778392,77,0,6,-11,0.35,22,72,50,4
67,-2,8.494092126453053,110,0,68,0,0.35,43,43,0,1
37,-67,8.51622104501805,106,0,36,31,0.35,69,69,0,1
56,0,8.494197657103673,108,0,54,-14,0.35,52,53,2,1
42,0,8.493718662008021,86,-3,42,0,0.35,44,44,0,1
56,0,8.491586099918484,84,0,54,-19,0.35,28,30,2,1
38,2,8.495513667621156,80,0,38,4,0.35,42,41,0,1
45,0,8.499636319217295,86,0,44,-3,0.35,41,42,2,1
44,0,8.493205533536154,83,-1,44,0,0.35,38,39,0,1
45,-2,8.50880307152712,83,0,44,-7,0.35,37,39,2,1
53,-1,8.50079696430929,88,0,54,4,0.35,35,34,0,1
51,0,8.499559359209853,83,0,52,19,0.35,31,31,0,1
41,0,8.492007675891099,81,0,38,-3,0.35,41,43,2,1
46,0,8.499570058769141,88,0,46,0,0.35,41,41,0,1
43,0,8.504156232841124,77,0,42,0,0.35,34,36,2,1
45,2,8.512694321551496,76,-3,44,-5,0.35,31,32,0,1
41,1,8.486577255442114,97,0,42,4,0.35,55,55,0,1
37,0,8.493743547198921,81,2,26,0,0.35,44,55,10,1
83,0,12.512509344107812,86,0,-4,0,0.35,3,92,88,5
56,0,11.490325124316026,81,4,-22,0,0.35,25,104,80,4
43,0,8.493576393639895,87,0,42,-6,0.35,44,46,2,1
56,4,11.486415257191972,98,-4,42,0,0.35,42,57,14,4
46,2,8.50239265295173,78,0,46,9,0.35,32,32,0,1
37,0,8.511027965435247,79,0,26,-4,0.35,42,53,12,1
43,-1,8.493909746484578,83,0,42,-6,0.35,39,41,2,1
37,0,8.485471024980065,83,1,24,0,0.35,46,59,14,1
55,0,11.496995756930499,95,-2,50,0,0.35,40,46,6,4
56,3,8.497287329992162,89,0,56,0,0.35,33,32,0,1
37,0,8.496518355667934,78,0,0,-11,0.35,42,78,36,1
48,1,8.504726027996579,87,-6,46,-4,0.35,39,41,2,1
37,0,8.514797573118278,90,0,30,9,0.35,53,59,6,1
55,0,11.497807145430416,96,0,46,9,0.35,41,50,8,4
51,-3,8.503837207760872,84,4,52,1,0.35,33,32,0,1
37,0,8.498309716947468,78,0,12,11,0.35,41,65,24,1
37,0,8.506252534139655,97,-6,34,0,0.35,59,63,4,1
45,-1,8.498198268109613,77,2,44,0,0.35,32,33,0,1
49,0,8.515018983859454,84,0,50,18,0.35,35,35,0,1
53,0,8.486051265705532,81,4,52,-22,0.35,28,29,2,1
37,2,8.496081286824777,90,0,28,0,0.35,53,62,8,1
37,0,8.490204529162927,77,1,36,0,0.35,41,41,0,1
70,57,9.49927155620209,82,0,-42,-4,0.35,12,126,114,2
61,-2,8.501392463248587,111,0,60,0,0.35,50,52,2,1
59,0,8.492424029971025,86,0,60,21,0.35,28,27,0,1
49,0,8.486853475601079,95,3,50,4,0.35,46,46,0,1
45,2,8.511157653768741,86,6,44,0,0.35,41,42,2,1
45,0,8.488041166813018,79,0,46,6,0.35,33,32,0,1
56,0,11.512257941743716,78,0,44,1,0.35,22,34,12,4
55,-3,8.511318387490777,96,0,54,-3,0.35,41,42,2,1
49,0,8.487594200516076,78,0,50,3,0.35,29,29,0,1
39,3,8.50109863882012,77,0,38,0,0.35,38,38,0,1
55,-1,11.49478755425179,79,-8,20,-13,0.35,23,58,34,4
56,0,8.508933720603782,86,0,56,15,0.35,31,30,0,1
37,0,8.500302054605076,81,0,18,-26,0.35,44,63,18,1
41,0,8.504207953686292,82,-2,38,-3,0.35,41,43,2,1
45,-3,8.506809434957985,88,0,44,0,0.35,44,44,0,1
37,0,8.501269897277178,83,0,8,24,0.35,46,75,30,1
43,0,8.499002420376332,77,0,42,-8,0.35,34,36,2,1
84,6,12.515869888178214,89,0,6,-6,0.35,5,84,78,5
37,0,8.492495637454557,79,-1,6,-23,0.35,43,74,32,1
37,0,8.509522757995114,81,0,38,7,0.35,43,42,0,1
43,0,8.480725669051106,77,0,42,-19,0.35,34,35,2,1
56,-1,11.510600737264104,98,4,50,23,0.35,42,49,6,4
50,1,8.502456070095041,78,-2,50,0,0.35,28,29,2,1
39,3,8.492305225832542,86,0,38,0,0.35,48,48,0,1
43,0,8.493070028846411,81,0,42,-10,0.35,37,39,2,1
37,0,8.49964192026521,79,0,36,9,0.35,42,43,2,1
58,-4,8.506490033227838,91,0,56,0,0.35,33,34,0,1
45,0,8.506060656559303,93,2,44,0,0.35,49,50,0,1
38,3,8.504615964168616,76,0,38,8,0.35,38,37,0,1
37,0,8.489902442980842,79,-3,36,-1,0.35,41,43,2,1
79,6,12.501992468230572,83,1,-40,13,0.35,4,124,120,5
36,-1,8.508355252291159,76,0,36,0,0.35,39,39,0,1
85,-3,12.501128987257944,88,0,2,-25,0.35,3,86,82,5
37,3,8.48831675167701,77,0,36,0,0.35,41,41,0,1
37,0,8.507452037237575,77,0,26,-19,0.35,41,52,10,1
45,0,8.475891592973074,79,0,46,14,0.35,34,33,0,1
54,4,11.496752941269595,77,0,28,0,0.35,23,48,26,4
43,-5,8.487235306644408,77,0,44,19,0.35,34,33,0,1
41,0,8.506609291569607,83,2,38,-1,0.35,42,44,2,1
43,0,8.498383006313595,77,10,42,-34,0.35,34,36,2,1
56,2,11.505622207484514,81,4,-4,0,0.35,25,86,62,4
55,0,11.509995872304016,82,0,-32,9,0.35,26,115,90,4
37,0,8.514457381549757,103,0,24,16,0.35,66,80,14,1
50,1,8.500622806536304,90,3,50,0,0.35,39,41,2,1
45,0,8.490103947713708,84,8,44,-8,0.35,39,41,2,1
48,0,8.49909023078326,89,4,46,-7,0.35,41,42,2,1
85,0,12.50716235305535,88,-3,6,0,0.35,3,83,80,5
47,-2,8.504619039911654,106,0,46,0,0.35,59,60,0,1
37,-6,8.502520189083583,78,0,10,0,0.35,42,68,26,1
37,-38,10.504278418946964,106,-104,30,-17,0.35,69,75,6,3
58,0,8.483944961003042,91,2,56,0,0.35,33,34,2,1
46,0,8.504565727074164,78,-7,46,5,0.35,32,32,0,1
55,0,11.500494073755647,95,-2,50,-10,0.35,40,46,6,4
56,0,8.47638243074863,82,0,56,10,0.35,26,25,0,1
55,0,11.504052741891558,92,0,46,-3,0.35,37,46,8,4
39,-2,8.497673635188441,86,0,38,0,0.35,46,47,0,1
51,2,8.506015570689128,81,-5,50,0,0.35,30,32,2,1
37,0,8.510577505072074,75,0,20,11,0.35,38,54,16,1
41,-2,8.49970658006877,80,0,38,-20,0.35,39,41,2,1
53,0,8.506088305309962,86,0,52,-10,0.35,33,34,2,1
46,2,8.488334352259924,88,0,46,3,0.35,42,41,0,1
37,0,8.505133898951208,78,0,6,-4,0.35,41,73,32,1
44,0,8.494995319641944,79,-2,44,0,0.35,35,35,0,1
38,-3,8.512229297970384,76,0,38,0,0.35,38,37,0,1
52,4,8.501059059814636,91,0,52,0,0.35,38,39,0,1
37,0,8.503382958706434,93,0,16,4,0.35,55,77,22,1
56,0,11.488996563831847,77,0,-22,23,0.35,21,100,80,4
44,4,8.488465914055531,82,-7,44,1,0.35,38,38,0,1
37,0,8.491969138981386,79,-4,24,0,0.35,42,55,14,1
46,0,8.514558750108096,87,-7,46,0,0.35,41,41,0,1
52,-3,8.504294963533699,86,0,52,-4,0.35,33,34,0,1
41,0,8.473039269607842,79,0,38,0,0.35,39,41,2,1
56,0,8.50008102648479,80,0,54,-15,0.35,24,26,2,1
82,1,12.504317035605485,86,0,-6,0,0.35,3,94,90,5
60,-5,8.498567381639763,111,0,60,0,0.35,50,51,2,1
44,1,8.495419428657659,88,0,44,4,0.35,44,44,0,1
46,1,8.50040039883664,87,0,46,7,0.35,41,41,0,1
52,-3,8.503226880851424,88,0,52,0,0.35,35,36,0,1
37,0,8.506287954612226,78,0,-2,-6,0.35,42,81,40,1
43,0,8.489253071482274,78,-7,42,0,0.35,35,37,2,1
37,0,8.494227128170897,84,0,18,-25,0.35,47,66,18,1
42,-4,8.479849413525296,85,0,42,0,0.35,43,44,2,1
43,0,8.492856232501783,79,3,42,0,0.35,37,38,2,1
78,-2,12.50844924435785,82,0,-40,0,0.35,4,123,120,5
48,0,8.507605093202251,88,0,46,0,0.35,39,41,2,1
55,0,8.486436380677207,90,0,54,0,0.35,36,36,0,1
78,0,12.488085475036552,82,-2,-40,0,0.35,4,123,120,5
39,1,8.506365729513504,77,2,38,0,0.35,38,38,0,1
43,1,8.514226369566694,77,0,42,0,0.35,34,35,2,1
107,-2,12.491809683750446,108,-2,70,-28,0.35,1,38,38,5
55,-1,8.521800893107086,81,-6,54,-8,0.35,26,27,0,1
41,0,8.505691154979175,106,0,38,-28,0.35,64,67,2,1
58,-4,8.485528039638426,85,0,56,0,0.35,28,28,0,1
37,0,8.492861196472616,76,0,34,13,0.35,39,42,4,1
42,-1,8.492866359127895,78,0,42,0,0.35,36,37,2,1
42,5,8.502409261112382,82,0,42,0,0.35,40,41,0,1
53,0,8.488743937735578,103,-1,52,-17,0.35,50,51,2,1
42,2,8.5096724723388,75,0,42,0,0.35,33,34,0,1
37,4,8.496086561466573,106,0,18,0,0.35,68,88,20,1
49,-1,8.505900464595346,81,0,50,5,0.35,33,32,0,1
46,0,8.500188603672752,77,5,46,0,0.35,31,30,0,1
56,4,11.510023751160311,95,0,44,26,0.35,40,51,12,4
41,1,8.492008173540674,107,0,38,-7,0.35,66,68,2,1
56,0,11.490853410507205,77,0,10,5,0.35,22,67,46,4
37,0,8.479497581873353,76,-2,26,1,0.35,39,50,12,1
44,-4,8.487027136867408,77,0,44,4,0.35,34,34,0,1
49,-2,8.50956915532951,83,0,50,0,0.35,34,34,0,1
56,0,11.501727088488389,78,0,12,19,0.35,22,65,42,4
52,2,8.491411621255308,81,0,52,0,0.35,29,29,0,1
37,0,8.516172466987465,77,0,2,-11,0.35,40,75,34,1
55,0,11.513804096887593,82,0,-24,-16,0.35,26,108,82,4
37,0,8.5082660107741,83,0,6,-5,0.35,47,78,32,1
55,0,11.50343998139849,95,0,46,27,0.35,40,49,8,4
46,4,8.48198989053192,77,0,44,-21,0.35,32,34,2,1
51,1,8.497797397534013,81,0,52,12,0.35,29,29,0,1
37,0,8.498658613114745,106,0,28,-9,0.35,69,78,8,1
54,3,8.512492356193974,83,-3,54,0,0.35,29,29,0,1
102,0,12.497434610497212,103,0,72,24,0.35,1,31,30,5
62,0,8.507826218227788,109,0,62,23,0.35,48,47,0,1
55,0,11.478445779199076,93,0,50,25,0.35,37,44,6,4
44,0,8.506144656088587,82,1,44,1,0.35,38,38,0,1
45,4,8.485825127328685,87,-1,44,0,0.35,42,43,2,1
45,0,8.498462811809986,81,0,44,-3,0.35,36,37,2,1
56,0,11.485438555835193,77,0,20,-28,0.35,22,57,36,4
37,-1,8.51912716335065,76,-3,20,-7,0.35,39,55,16,1
56,0,11.493942895760547,79,0,12,11,0.35,23,66,42,4
45,0,8.494628045154563,88,2,44,0,0.35,44,44,0,1
44,0,8.495992785876938,87,-5,44,0,0.35,43,43,0,1
37,-3,8.496981972605507,77,0,38,8,0.35,39,38,0,1
37,0,8.496831411034785,77,1,20,0,0.35,40,56,16,1
37,-15,8.496411156631844,78,0,10,0,0.35,42,68,26,1
56,1,8.490698200328367,80,0,56,1,0.35,24,23,0,1
47,-4,8.501883545629015,86,0,46,0,0.35,39,39,0,1
49,-4,8.495163345144075,107,-1,50,0,0.35,58,58,0,1
57,0,8.497088510590409,82,0,56,0,0.35,25,25,0,1
41,1,8.47917327327152,108,0,42,10,0.35,66,66,0,1
37,0,8.501601906499214,79,0,10,13,0.35,42,68,26,1
62,-2,8.499690434096426,108,0,60,0,0.35,45,48,2,1
43,0,8.496635737712017,86,0,44,21,0.35,43,42,0,1
55,0,8.484358806159506,87,-1,56,18,0.35,32,30,0,1
47,-1,8.502980059176434,86,-2,46,0,0.35,39,39,0,1
45,-4,8.504863643951733,81,1,44,-21,0.35,36,37,2,1
57,0,8.498567499146535,88,-1,56,0,0.35,31,31,0,1
37,0,8.490951064446662,76,0,30,-23,0.35,40,45,6,1
41,-1,8.504292775120367,100,0,42,0,0.35,59,59,0,1
49,-1,8.493071154089336,79,0,50,1,0.35,30,30,0,1
37,0,8.508478021968896,104,-2,16,-14,0.35,67,89,22,1
55,0,11.508026717006569,92,0,30,-7,0.35,37,61,24,4
107,-2,12.491153875744168,108,-1,70,-23,0.35,1,38,38,5
55,0,11.499273508751607,98,-3,50,18,0.35,42,49,6,4
56,3,8.495516940667207,85,0,56,23,0.35,29,28,0,1
44,2,8.488126715739922,83,0,44,9,0.35,39,39,0,1
49,-1,8.49233758251902,86,0,50,4,0.35,37,37,0,1
37,0,8.501031481177316,78,0,8,21,0.35,41,70,30,1
106,0,12.501996459368728,107,-5,70,0,0.35,1,37,36,5
37,0,8.504951959601557,78,0,12,-9,0.35,41,65,24,1
43,0,8.495372054397047,102,0,44,15,0.35,59,58,0,1
56,0,8.477216567702335,92,0,56,0,0.35,36,35,0,1
42,0,8.504419659188988,79,6,42,0,0.35,36,37,2,1
37,0,8.518165250778909,93,-7,12,0,0.35,55,80,24,1
66,0,8.491941347275947,109,0,68,4,0.35,43,42,0,1
39,0,8.517083022333951,79,-1,38,-2,0.35,41,41,0,1
37,0,8.506111578731577,79,3,8,0,0.35,42,71,30,1
84,1,12.499182406406517,87,0,-4,0,0.35,3,92,88,5
51,-4,8.511297160048809,86,0,52,17,0.35,35,34,0,1
52,-3,8.497228282348658,84,0,52,0,0.35,31,32,0,1
49,0,8.486111650543254,95,0,46,-6,0.35,47,49,2,1
37,0,8.492104633221228,95,0,18,22,0.35,58,77,20,1
50,-3,8.488458749394853,81,0,50,0,0.35,31,32,2,1
44,0,8.486504356601705,81,2,42,-12,0.35,37,39,2,1
37,0,8.506145581763883,76,0,20,-20,0.35,40,55,16,1
45,0,8.491561074007075,82,0,44,-11,0.35,37,38,2,1
37,0,8.490339533638792,78,0,2,-24,0.35,42,75,34,1
43,0,8.521441086444694,81,-7,42,0,0.35,38,40,2,1
41,-1,8.49783141437057,81,0,42,0,0.35,39,39,0,1
